paper_id,title,venue,year,problem,method,dataset,headline_metric,stated_limitation,one_line_takeaway,angle_tags,relevance
P01,Combating Misinformation in the Age of LLMs: Opportunities and Challenges,AI Magazine,2024,Survey of LLM dual role in misinformation creation and detection,Conceptual survey,N/A,N/A,Lacks empirical depth on robustness,The canonical framing for our project — LLMs both create and detect,survey;framing,5
P02,Generative LLMs in Automated Fact-Checking: A Survey,arXiv:2407.02351,2024,Survey of generative LLMs across fact-checking pipeline,Literature review,N/A,N/A,Pre-AVeriTeC-2 era; misses 2025 shared-task work,Pipeline-by-pipeline view: claim → retrieval → verification → rationale,survey;pipeline,5
P03,Hallucination to Truth: A Review of Fact-Checking and Factuality Evaluation in LLMs,Springer AI Review (arXiv:2508.03860),2025,Joins fact-checking with hallucination evaluation,Survey + taxonomy,N/A,N/A,Broad rather than deep on any one method,Use as bridge for the "faithful rationale" angle,survey;rationale;hallucination,4
P04,The perils and promises of fact-checking with LLMs,Frontiers in AI,2024,User effects of LLM fact-checking,User study,Headlines,Mixed effects on accuracy,Single-shot study; limited model coverage,LLM fact-checks can hurt users when model is unsure — strong argument for abstention,user-effects;abstention,5
P05,Fact-checking information from LLMs can decrease headline discernment,PNAS,2024,Behavioural impact on news consumers,Randomized experiment,News headlines,"Confident-wrong reduces trust in true news",Single context; specific LLM,Confident wrong answers actively harm — calibration is a deployment requirement,user-effects;calibration,5
P06,AVeriTeC: A Dataset for Real-world Claim Verification with Evidence from the Web,NeurIPS,2024,Real-world claim verification with web evidence,Crowd-curated dataset + baseline,AVeriTeC,Baseline AVeriTeC score ~0.20,Annotation cost; English only,The reference benchmark for serious work; replaces FEVER as default,benchmark;retrieval,5
P07,The 2nd AVeriTeC Shared Task (FEVER 2025),ACL Anthology 2025.fever-1.15,2025,Open-weight efficient fact verification,Shared-task overview,AVeriTeC v2,Winner ~0.50 score with ≤ 1 min/claim on 23 GB GPU,Limited to open weights and modest compute,SOTA on real-world claims is RAG + 7-8B open-weight LLMs,benchmark;retrieval;efficiency,5
P08,HerO 2 for Efficient Fact Verification,arXiv:2507.11004,2025,Efficient runtime under shared-task constraints,Pipelined RAG with rerankers,AVeriTeC v2,2nd place; shortest runtime in top-3,Open-weight only,Efficient pipelines beat heavyweight ones under realistic constraints,architecture;efficiency,4
P09,AIC CTU FEVER 8: long-context RAG fact-checking,arXiv:2508.04390,2025,On-prem long-context RAG,Long-context evidence assembly + verifier LLM,AVeriTeC v2,1st place,Long context shifts cost to retrieval/composition,Long-context windows are now competitive with reranker stacks,architecture;retrieval,4
P10,SANCTUARY (FEVER 2025),aclanthology.org/2025.fever-1.*,2025,Improvement over AVeriTeC baseline,Open-weight RAG with structured verification,AVeriTeC v2,Ev2R recall +5 abs over baseline,Limited model exploration,Confirms RAG-with-decomposition wins on AVeriTeC,architecture;retrieval,3
P11,The CLEF-2025 CheckThat! Lab Overview,arXiv:2503.14828,2025,Multi-task subjectivity / claim norm / numerical / scientific,Shared-task overview,CheckThat! 2025,Task 3 numerical F1 ~0.55-0.60 top systems,Imbalanced topic coverage,Numerical-claim verification is fresh and under-saturated,benchmark;numerical,4
P12,DS@GT at CheckThat! 2025: Numerical Fact Verification,arXiv:2507.06195,2025,Numerical claim verification,Context + tokenization strategies,CheckThat 2025 T3,Macro-F1 0.57; top-4,Tokenization tricks domain-specific,Context engineering matters more than model size for numerical claims,numerical;architecture,3
P13,ClaimIQ at CheckThat! 2025,arXiv:2509.11492,2025,Prompted vs fine-tuned for numerical claims,Comparative study,CheckThat 2025 T3,Mixed: prompted competitive with fine-tuned,Single language focus,Prompted LLMs are now competitive even on small specialised tasks,prompting;numerical,3
P14,Numerical Fact-Checking with Claim Decomposition,arXiv:2510.22055,2025,Open-domain numerical fact-checking,Claim decomposition + evidence retrieval,New benchmark,Beats single-pass LLM by wide margin,Specific to numerical claims,Claim decomposition is essential for numerical claims,decomposition;numerical,3
P15,LIAR: Benchmark Dataset for Fake News Detection,ACL,2017,Short political statements,6-class verdicts,LIAR,~F1 0.27 baseline; 0.45+ modern,Sparse evidence; topic skew,Cheap baseline; saturated; useful only for ablations,benchmark;baseline,2
P16,FEVER: a large-scale dataset for Fact Extraction and Verification,NAACL,2018,Wikipedia-grounded claims,Crowdsourced + baselines,FEVER,Modern systems > 0.80 FEVER score,Synthetic claims; not real-world,Default sanity-check; effectively saturated,benchmark;baseline,3
P17,FEVEROUS: Fact Extraction and VERification Over Unstructured and Structured information,NeurIPS Datasets,2021,Adds tables to FEVER,Mixed evidence,FEVEROUS,Top systems FEVEROUS score ~0.30-0.40,Engineering-heavy,Tabular evidence still hard; harder than FEVER,benchmark;structured,3
P18,FakeNewsNet: A Data Repository,Big Data,2020,News articles + social context,Multi-source dataset,FakeNewsNet,F1 > 0.85 on i.i.d. splits,Very saturated on i.i.d.; weak under drift,Use only as a drift slice,benchmark;drift,2
P19,MuMiN: Multilingual Multimodal Fact-Checked Misinformation Network,SIGIR,2022,Multilingual+multimodal social graph,Heterogeneous graph + claim/tweet classification,MuMiN,Macro-F1 0.62 (small),Twitter API-dependent; ageing,Best public multilingual+multimodal corpus to date,benchmark;multimodal;multilingual,4
P20,MMM-Fact: Multimodal Multi-Domain Fact-Checking,arXiv:2510.25120,2025,Multi-level retrieval difficulty,Stratified multimodal benchmark,MMM-Fact,New baselines released,Curated rather than open-stream,Designed precisely to probe retrieval failure — perfect fit for angle 2,benchmark;retrieval;multimodal,4
P21,SheepDog: Robust Fake News Detection Against LLM-Empowered Style Attacks,KDD,2024,Style attacks via LLM paraphrase,Style-agnostic training with LLM-reframings,FakeNewsNet variants,F1 +2.6 to +15.7% under attack vs -38% drop for baselines,Single attack family,Style-agnostic training partially survives LLM paraphrase attacks,llm-fakes;robustness,5
P22,Can LLM-Generated Misinformation Be Detected?,ICLR (Chen 2024),2024,Detectability of LLM-written misinformation,Empirical study with multiple detectors,Synthetic + human paired,LLM-written fakes harder for both humans and detectors,Limited detector coverage,LLM-written misinformation is systematically harder — core motivation for angle 1,llm-fakes;robustness,5
P23,Linguistic features of AI mis/disinformation and the detection limits of LLMs,Nature Communications,2025,Detectability ceiling,Cross-detector empirical study,Multiple,LLM intrinsic detection capability remains limited,Specific generators,Reinforces P22: detection limits exist even for LLM detectors,llm-fakes;limits,4
P24,Faithfulness-Aware Uncertainty Quantification for RAG Fact-Checking,arXiv:2505.21072,2025,Faithfulness + uncertainty in RAG,Token-level uncertainty + faithfulness loss,Mixed,Improves abstention quality,Limited to specific RAG configs,Best current proxy for "did the rationale follow the evidence",rationale;uncertainty;rag,4
P25,Drift: Enhancing LLM Faithfulness in Rationale Generation,ACL,2025,Unfaithful rationales,Constrained decoding + verifier,Multi-task,Improves faithfulness without verdict loss,Compute-heavy,Verdict-correct-rationale-wrong is now measurable,rationale;faithfulness,4
P26,HalluTree: Explainable Multi-Hop Hallucination Detection,ACL NewSum,2025,Multi-hop hallucination,Tree-structured verification,Long-form,Trades latency for explainability,New metric proposals,Explainable multi-hop verification — promising for rationale angle,rationale;multihop,3
P27,SAFE: Long-form Factuality with Atomic Claims,Google DeepMind,2024,Long-form factual evaluation,Atomic decomposition + search verification,Custom long-form,Strong correlation with humans,Search-API-bound,Decomposition-then-verify is the dominant long-form pattern,decomposition;long-form,4
P28,FActScore: Fine-grained Atomic Evaluation,EMNLP,2023,Long-form factuality scoring,Atomic facts + per-claim verification,Bio benchmarks,Per-fact precision metric,Decomposer sensitivity,Foundation of every long-form factuality eval,decomposition;evaluation,3
P29,Decomposition Dilemmas: Does Claim Decomposition Boost or Burden?,arXiv:2411.02400,2024,When decomposition hurts,Empirical study across decomposers,Multiple,Decomposition helps then hurts as sub-claim count rises,Hard to set generic threshold,Decomposition is not free — diminishing returns with noise,decomposition;limits,3
P30,EvolveDetector: Evolving Fake News Detector for Emerging Events,Inf. Proc. Mgmt,2024,Continual learning for emerging topics,Parameter-level knowledge transfer,Streaming benchmarks,Outperforms retrain-from-scratch,No memory of all past events,Continual learning works without storing historical data,drift;continual,3
P31,What's Real News Today? A Multimodal Continual-Learning Approach,Springer 2024 (PSL),2024,Drift in multimodal fake news,Continual-learning pipeline,Multimodal stream,Mitigates topical drift,Engineering complexity,Continual learning helps on multimodal streams too,drift;multimodal,3
